,time_sec,amplitude
0,0,-0.245
1,0.002777778,-0.215
2,0.005555556,-0.185
3,0.008333333,-0.175
4,0.011111111,-0.17
5,0.013888889,-0.17
6,0.016666667,-0.185
7,0.019444444,-0.17
8,0.022222222,-0.16
9,0.025,-0.15
10,0.027777778,-0.17
11,0.030555556,-0.205
12,0.033333333,-0.22
13,0.036111111,-0.23
14,0.038888889,-0.21
15,0.041666667,-0.19
16,0.044444444,-0.175
17,0.047222222,-0.185
18,0.05,-0.19
19,0.052777778,-0.19
20,0.055555556,-0.2
21,0.058333333,-0.2
22,0.061111111,-0.21
23,0.063888889,-0.205
24,0.066666667,-0.215
25,0.069444444,-0.205
26,0.072222222,-0.225
27,0.075,-0.235
28,0.077777778,-0.225
29,0.080555556,-0.205
30,0.083333333,-0.21
31,0.086111111,-0.2
32,0.088888889,-0.2
33,0.091666667,-0.195
34,0.094444444,-0.185
35,0.097222222,-0.19
36,0.1,-0.215
37,0.102777778,-0.22
38,0.105555556,-0.195
39,0.108333333,-0.195
40,0.111111111,-0.22
41,0.113888889,-0.25
42,0.116666667,-0.22
43,0.119444444,-0.165
44,0.122222222,-0.15
45,0.125,-0.145
46,0.127777778,-0.185
47,0.130555556,-0.195
48,0.133333333,-0.195
49,0.136111111,-0.185
50,0.138888889,-0.17
51,0.141666667,-0.16
52,0.144444444,-0.16
53,0.147222222,-0.18
54,0.15,-0.205
55,0.152777778,-0.2
56,0.155555556,-0.165
57,0.158333333,-0.135
58,0.161111111,-0.13
59,0.163888889,-0.13
60,0.166666667,-0.13
61,0.169444444,-0.11
62,0.172222222,-0.065
63,0.175,-0.03
64,0.177777778,-0.04
65,0.180555556,-0.055
66,0.183333333,-0.055
67,0.186111111,-0.035
68,0.188888889,0
69,0.191666667,0.015
70,0.194444444,0.015
71,0.197222222,0
72,0.2,0.01
73,0.202777778,0.015
74,0.205555556,0.02
75,0.208333333,0.035
76,0.211111111,0.045
77,0.213888889,0.04
78,0.216666667,0.03
79,0.219444444,0.025
80,0.222222222,0.005
81,0.225,-0.005
82,0.227777778,-0.025
83,0.230555556,-0.05
84,0.233333333,-0.05
85,0.236111111,-0.045
86,0.238888889,-0.025
87,0.241666667,-0.02
88,0.244444444,-0.035
89,0.247222222,-0.065
90,0.25,-0.065
91,0.252777778,-0.075
92,0.255555556,-0.07
93,0.258333333,-0.085
94,0.261111111,-0.1
95,0.263888889,-0.14
96,0.266666667,-0.145
97,0.269444444,-0.14
98,0.272222222,-0.115
99,0.275,-0.095
100,0.277777778,-0.09
101,0.280555556,-0.1
102,0.283333333,-0.11
103,0.286111111,-0.125
104,0.288888889,-0.125
105,0.291666667,-0.11
106,0.294444444,-0.085
107,0.297222222,-0.095
108,0.3,-0.08
109,0.302777778,-0.065
110,0.305555556,-0.03
111,0.308333333,-0.04
112,0.311111111,-0.065
113,0.313888889,-0.11
114,0.316666667,-0.145
115,0.319444444,-0.145
116,0.322222222,-0.075
117,0.325,0.035
118,0.327777778,0.22
119,0.330555556,0.435
120,0.333333333,0.695
121,0.336111111,1.005
122,0.338888889,1.3
123,0.341666667,1.535
124,0.344444444,1.72
125,0.347222222,1.82
126,0.35,1.72
127,0.352777778,1.425
128,0.355555556,1.02
129,0.358333333,0.6
130,0.361111111,0.2
131,0.363888889,-0.095
132,0.366666667,-0.215
133,0.369444444,-0.19
134,0.372222222,-0.125
135,0.375,-0.105
136,0.377777778,-0.115
137,0.380555556,-0.13
138,0.383333333,-0.1
139,0.386111111,-0.075
140,0.388888889,-0.08
141,0.391666667,-0.11
142,0.394444444,-0.125
143,0.397222222,-0.155
144,0.4,-0.165
145,0.402777778,-0.17
146,0.405555556,-0.17
147,0.408333333,-0.17
148,0.411111111,-0.17
149,0.413888889,-0.185
150,0.416666667,-0.185
151,0.419444444,-0.2
152,0.422222222,-0.19
153,0.425,-0.175
154,0.427777778,-0.155
155,0.430555556,-0.14
156,0.433333333,-0.175
157,0.436111111,-0.175
158,0.438888889,-0.17
159,0.441666667,-0.15
160,0.444444444,-0.16
161,0.447222222,-0.165
162,0.45,-0.18
163,0.452777778,-0.19
164,0.455555556,-0.165
165,0.458333333,-0.14
166,0.461111111,-0.13
167,0.463888889,-0.15
168,0.466666667,-0.16
169,0.469444444,-0.145
170,0.472222222,-0.125
171,0.475,-0.115
172,0.477777778,-0.11
173,0.480555556,-0.115
174,0.483333333,-0.12
175,0.486111111,-0.115
176,0.488888889,-0.095
177,0.491666667,-0.085
178,0.494444444,-0.09
179,0.497222222,-0.09
180,0.5,-0.1
181,0.502777778,-0.095
182,0.505555556,-0.085
183,0.508333333,-0.065
184,0.511111111,-0.06
185,0.513888889,-0.07
186,0.516666667,-0.05
187,0.519444444,-0.045
188,0.522222222,-0.02
189,0.525,0.01
190,0.527777778,0.02
191,0.530555556,0.04
192,0.533333333,0.055
193,0.536111111,0.065
194,0.538888889,0.075
195,0.541666667,0.095
196,0.544444444,0.115
197,0.547222222,0.085
198,0.55,0.06
199,0.552777778,0.08
200,0.555555556,0.125
201,0.558333333,0.16
202,0.561111111,0.165
203,0.563888889,0.17
204,0.566666667,0.185
205,0.569444444,0.22
206,0.572222222,0.225
207,0.575,0.235
208,0.577777778,0.22
209,0.580555556,0.23
210,0.583333333,0.25
211,0.586111111,0.28
212,0.588888889,0.27
213,0.591666667,0.25
214,0.594444444,0.255
215,0.597222222,0.245
216,0.6,0.235
217,0.602777778,0.235
218,0.605555556,0.25
219,0.608333333,0.23
220,0.611111111,0.245
221,0.613888889,0.23
222,0.616666667,0.22
223,0.619444444,0.215
224,0.622222222,0.18
225,0.625,0.12
226,0.627777778,0.075
227,0.630555556,0.065
228,0.633333333,0.06
229,0.636111111,0.055
230,0.638888889,0.025
231,0.641666667,-0.005
232,0.644444444,-0.04
233,0.647222222,-0.085
234,0.65,-0.135
235,0.652777778,-0.145
236,0.655555556,-0.14
237,0.658333333,-0.12
238,0.661111111,-0.12
239,0.663888889,-0.16
240,0.666666667,-0.195
241,0.669444444,-0.2
242,0.672222222,-0.215
243,0.675,-0.2
244,0.677777778,-0.2
245,0.680555556,-0.215
246,0.683333333,-0.255
247,0.686111111,-0.27
248,0.688888889,-0.225
249,0.691666667,-0.225
250,0.694444444,-0.24
251,0.697222222,-0.25
252,0.7,-0.23
253,0.702777778,-0.19
254,0.705555556,-0.18
255,0.708333333,-0.2
256,0.711111111,-0.21
257,0.713888889,-0.215
258,0.716666667,-0.21
259,0.719444444,-0.21
260,0.722222222,-0.205
261,0.725,-0.225
262,0.727777778,-0.23
263,0.730555556,-0.24
264,0.733333333,-0.245
265,0.736111111,-0.23
266,0.738888889,-0.23
267,0.741666667,-0.21
268,0.744444444,-0.2
269,0.747222222,-0.185
270,0.75,-0.175
271,0.752777778,-0.175
272,0.755555556,-0.19
273,0.758333333,-0.19
274,0.761111111,-0.19
275,0.763888889,-0.2
276,0.766666667,-0.175
277,0.769444444,-0.13
278,0.772222222,-0.09
279,0.775,-0.095
280,0.777777778,-0.13
281,0.780555556,-0.17
282,0.783333333,-0.16
283,0.786111111,-0.135
284,0.788888889,-0.1
285,0.791666667,-0.09
286,0.794444444,-0.115
287,0.797222222,-0.115
288,0.8,-0.08
289,0.802777778,-0.04
290,0.805555556,-0.065
291,0.808333333,-0.105
292,0.811111111,-0.12
293,0.813888889,-0.12
294,0.816666667,-0.11
295,0.819444444,-0.105
296,0.822222222,-0.11
297,0.825,-0.15
298,0.827777778,-0.155
299,0.830555556,-0.16
300,0.833333333,-0.15
301,0.836111111,-0.165
302,0.838888889,-0.19
303,0.841666667,-0.215
304,0.844444444,-0.27
305,0.847222222,-0.32
